c_id,iso3,country,pop_thousands,pop_prob,sex_ratio,male_ratio,median_age,c_id-2,country-2,sub15,sub65,65plus,region
137,MMR,Myanmar,54134,0.0066924,99.2,0.5,29.5,137, Myanmar,0.249,0.683,0.068,Asia
138,NAM,Namibia,2963,0.0003663,95.5,0.49,21,138, Namibia,0.344,0.617,0.039,Africa
139,NRU,Nauru,12,0.0000015,103.8,0.51,20.4,139, Nauru,0.301,0.657,0.042,Oceania
140,NPL,Nepal,29695,0.003671,92.6,0.48,24.7,140, Nepal,0.263,0.675,0.062,Asia
141,NLD,Netherlands,18093,0.0022367,98.7,0.5,41.4,141, Netherlands,0.161,0.631,0.209,Europe
142,NCL,New Caledonia,290,0.0000358,97.3,0.49,33.9,142, New Caledonia,0.21,0.685,0.106,Oceania
143,NZL,New Zealand,5173,0.0006395,98.7,0.5,37.3,143, New Zealand,0.192,0.644,0.165,Oceania
144,NIC,Nicaragua,6824,0.0008436,96.8,0.49,25.3,144, Nicaragua,0.242,0.694,0.065,North America
145,NER,Niger,26160,0.003234,103.1,0.51,15.3,145, Niger,0.495,0.478,0.027,Africa
146,NGA,Nigeria,227883,0.0281723,102.2,0.51,17.8,146, Nigeria,0.407,0.56,0.034,Africa
147,PRK,North Korea,26418,0.003266,97.7,0.49,36,147, North Korea,0.202,0.692,0.106,Asia
148,MKD,North Macedonia,1832,0.0002265,94.7,0.49,40.3,148, North Macedonia,0.161,0.687,0.153,Europe
149,MNP,Northern Mariana Islands,45,0.0000056,111.5,0.53,36.1,149, Northern Mariana Islands,0.226,0.68,0.094,Oceania
150,NOR,Norway,5519,0.0006823,101.6,0.5,39.5,150, Norway,0.178,0.64,0.182,Europe
151,OMN,Oman,5049,0.0006242,163.7,0.62,29.3,151, Oman,0.299,0.662,0.04,Asia
152,PAK,Pakistan,247504,0.030598,103.3,0.51,20.3,152, Pakistan,0.348,0.604,0.048,Asia
153,PLW,Palau,18,0.0000022,116.9,0.54,37.8,153, Palau,0.175,0.718,0.107,Oceania
154,PSE,Palestine,5409,0.0006687,98.8,0.5,19.8,154, Palestine,0.341,0.619,0.04,Asia
155,PAN,Panama,4459,0.0005512,100,0.5,29.6,155, Panama,0.252,0.649,0.099,North America
156,PNG,Papua New Guinea,10390,0.0012844,106.1,0.51,22.3,156, Papua New Guinea,0.373,0.588,0.039,Oceania
157,PRY,Paraguay,6844,0.0008461,100.6,0.5,26.3,157, Paraguay,0.224,0.685,0.091,South America
158,PER,Peru,33846,0.0041842,99,0.5,29.5,158, Peru,0.26,0.659,0.08,South America
159,PHL,Philippines,114891,0.0142036,99.5,0.5,25.3,159, Philippines,0.305,0.641,0.055,Asia
160,POL,Poland,38763,0.0047921,94,0.48,41.3,160, Poland,0.145,0.649,0.206,Europe
161,PRT,Portugal,10431,0.0012895,91,0.48,46.2,161, Portugal,0.129,0.652,0.22,Europe
162,PRI,Puerto Rico,3242,0.0004008,89.1,0.47,45.3,162, Puerto Rico (US),0.128,0.63,0.242,North America
163,QAT,Qatar,2979,0.0003683,251.1,0.72,33.2,163, Qatar,0.131,0.855,0.014,Asia
164,COG,Republic of Congo,6183,0.0007644,100,0.5,18.3,164, Republic of the Congo,0.404,0.562,0.034,Africa
165,ROU,Romania,19118,0.0023635,93.9,0.48,42.6,165, Romania,0.156,0.621,0.222,Europe
166,RUS,Russian Federation,145441,0.0179803,86.7,0.46,39.5,166, Russia,0.173,0.658,0.169,Europe
